task_type,weather,operator_skill,machine_age,estimated_time,actual_time
Earth Excavation,Rainy,Expert,5,29.3,36.03
Demolition,Windy,Expert,6,65.85,72.53
Demolition,Sunny,Expert,3,83.72,75.97
Demolition,Sunny,Intermediate,11,116.42,122.42
Material Loading,Cloudy,Intermediate,12,103.19,117.13
Grading,Cloudy,Beginner,2,114.36,136.28
Demolition,Sunny,Beginner,2,36.44,44.3
Grading,Sunny,Expert,6,116.46,104.61
Material Loading,Windy,Intermediate,14,31.99,37.37
Material Loading,Sunny,Beginner,14,105.66,134.38
Trenching,Cloudy,Intermediate,9,24.9,27.35
Trenching,Sunny,Intermediate,14,65.22,78.04
Trenching,Sunny,Intermediate,2,100.39,95.02
Earth Excavation,Sunny,Beginner,3,39.81,48.23
Earth Excavation,Cloudy,Beginner,1,119.72,143.15
Grading,Rainy,Beginner,14,102.94,163.29
Earth Excavation,Windy,Beginner,3,112.41,150.79
Grading,Windy,Beginner,7,88.32,116.58
Trenching,Rainy,Intermediate,5,64.6,75.68
Demolition,Rainy,Expert,5,69.89,85.32
Grading,Sunny,Beginner,5,58.3,72.27
Demolition,Rainy,Expert,13,74.37,82.04
Grading,Cloudy,Intermediate,9,98.14,108.82
Demolition,Cloudy,Intermediate,5,37.98,40.36
Trenching,Sunny,Intermediate,1,100.87,101.3
Material Loading,Rainy,Beginner,2,44.79,62.38
Demolition,Sunny,Beginner,10,104.65,146.35
Material Loading,Rainy,Beginner,4,79.25,125.95
Material Loading,Sunny,Expert,12,55.17,56.36
Trenching,Rainy,Intermediate,9,50.91,66.46
Earth Excavation,Sunny,Beginner,10,41.88,55.57
Earth Excavation,Cloudy,Expert,4,100.64,95.76
Trenching,Cloudy,Beginner,1,34.77,46.06
Trenching,Sunny,Expert,14,56.49,53.0
Grading,Sunny,Intermediate,5,52.26,60.1
Grading,Windy,Expert,6,37.42,42.95
Demolition,Cloudy,Beginner,11,78.9,103.18
Material Loading,Cloudy,Beginner,3,92.88,131.36
Demolition,Windy,Expert,1,38.21,36.82
Demolition,Rainy,Expert,10,30.41,36.1
Material Loading,Sunny,Beginner,6,118.24,140.41
Earth Excavation,Cloudy,Intermediate,1,46.52,46.86
Earth Excavation,Cloudy,Intermediate,13,30.8,32.9
Grading,Windy,Expert,7,116.91,133.37
Grading,Windy,Intermediate,9,57.53,73.51
Demolition,Rainy,Beginner,8,27.37,45.51
Material Loading,Sunny,Intermediate,5,115.17,110.63
Trenching,Windy,Beginner,12,27.5,44.25
Earth Excavation,Cloudy,Expert,10,109.32,118.29
Grading,Rainy,Expert,7,35.71,37.98
Trenching,Rainy,Intermediate,12,75.41,109.98
Demolition,Cloudy,Expert,5,49.74,45.37
Grading,Windy,Beginner,1,56.08,73.68
Material Loading,Windy,Beginner,2,22.57,28.39
Material Loading,Sunny,Intermediate,14,31.55,38.02
Grading,Windy,Expert,5,29.11,30.53
Trenching,Cloudy,Intermediate,6,38.66,39.11
Grading,Windy,Intermediate,4,103.71,120.17
Trenching,Sunny,Beginner,11,54.38,73.03
Demolition,Rainy,Expert,1,104.08,120.76
Grading,Windy,Expert,4,67.63,63.77
Earth Excavation,Rainy,Beginner,13,64.9,115.09
Trenching,Rainy,Beginner,3,24.27,32.96
Grading,Rainy,Expert,3,103.41,109.46
Earth Excavation,Sunny,Intermediate,9,59.74,62.85
Material Loading,Windy,Beginner,13,90.04,136.66
Grading,Sunny,Intermediate,3,34.82,36.5
Earth Excavation,Sunny,Expert,13,30.1,29.3
Demolition,Cloudy,Intermediate,5,58.3,64.09
Demolition,Windy,Beginner,3,47.54,60.03
Demolition,Windy,Beginner,7,108.96,148.71
Trenching,Sunny,Expert,8,112.08,117.59
Earth Excavation,Cloudy,Intermediate,5,48.03,52.86
Earth Excavation,Rainy,Beginner,5,117.42,175.52
Material Loading,Cloudy,Expert,7,80.5,74.71
Grading,Rainy,Intermediate,12,68.45,92.3
Material Loading,Sunny,Expert,13,35.9,35.13
Demolition,Windy,Beginner,13,105.13,168.71
Earth Excavation,Rainy,Beginner,14,40.07,59.96
Earth Excavation,Windy,Beginner,6,90.46,120.85
Grading,Windy,Expert,2,88.12,84.39
Grading,Windy,Beginner,14,67.46,102.56
Material Loading,Rainy,Intermediate,12,103.09,127.2
Earth Excavation,Windy,Beginner,3,105.38,151.29
Trenching,Rainy,Expert,4,87.77,94.03
Grading,Sunny,Expert,1,67.41,56.77
Trenching,Sunny,Beginner,5,80.83,110.87
Material Loading,Windy,Intermediate,14,54.87,65.39
Grading,Cloudy,Expert,9,102.43,103.34
Earth Excavation,Sunny,Expert,11,116.65,124.44
Demolition,Cloudy,Intermediate,11,30.81,32.78
Material Loading,Cloudy,Intermediate,5,85.61,102.92
Material Loading,Rainy,Beginner,9,96.55,163.66
Demolition,Windy,Expert,6,88.08,96.52
Grading,Cloudy,Intermediate,7,60.46,71.14
Demolition,Rainy,Intermediate,12,91.34,127.34
Grading,Cloudy,Expert,5,104.54,110.8
Demolition,Rainy,Intermediate,2,67.08,86.06
Demolition,Rainy,Expert,6,85.44,92.38
Trenching,Cloudy,Intermediate,13,108.68,125.64
Demolition,Cloudy,Intermediate,14,31.78,34.64
Demolition,Sunny,Intermediate,4,70.05,78.21
Grading,Cloudy,Intermediate,1,107.08,105.63
Trenching,Cloudy,Intermediate,10,109.28,138.5
Trenching,Cloudy,Expert,3,97.89,95.04
Trenching,Cloudy,Expert,1,20.47,18.65
Trenching,Rainy,Intermediate,13,96.36,119.9
Demolition,Windy,Expert,7,60.34,69.87
Grading,Sunny,Beginner,9,39.94,50.92
Earth Excavation,Cloudy,Expert,4,21.79,19.29
Trenching,Rainy,Expert,6,51.21,53.97
Demolition,Cloudy,Beginner,2,102.38,126.27
Material Loading,Windy,Expert,9,79.64,83.15
Trenching,Cloudy,Intermediate,6,95.01,98.66
Grading,Sunny,Beginner,4,92.72,107.18
Earth Excavation,Rainy,Beginner,6,91.11,147.2
Grading,Cloudy,Expert,10,24.86,28.4
Earth Excavation,Sunny,Beginner,12,31.58,41.97
Earth Excavation,Cloudy,Intermediate,12,35.31,43.15
Earth Excavation,Cloudy,Intermediate,11,30.1,35.22
Demolition,Rainy,Intermediate,14,109.86,150.64
Demolition,Sunny,Intermediate,2,98.48,100.4
Demolition,Rainy,Intermediate,14,72.31,93.02
Grading,Cloudy,Beginner,1,74.81,103.02
Grading,Cloudy,Beginner,1,21.27,24.84
Earth Excavation,Windy,Beginner,2,97.95,120.67
Earth Excavation,Cloudy,Expert,4,65.68,70.71
Material Loading,Windy,Beginner,2,101.32,146.63
Material Loading,Cloudy,Expert,6,62.6,57.89
Earth Excavation,Sunny,Beginner,11,84.72,108.98
Grading,Cloudy,Expert,2,57.26,53.46
Earth Excavation,Windy,Intermediate,8,47.18,54.77
Grading,Windy,Expert,13,36.68,38.02
Earth Excavation,Rainy,Beginner,7,111.12,170.62
Demolition,Windy,Beginner,10,57.98,81.81
Earth Excavation,Rainy,Intermediate,8,31.29,39.83
Earth Excavation,Sunny,Intermediate,11,51.42,59.41
Demolition,Rainy,Expert,14,53.83,66.58
Demolition,Sunny,Intermediate,11,92.67,102.49
Grading,Rainy,Expert,10,25.46,31.11
Trenching,Windy,Intermediate,14,36.54,48.13
Material Loading,Rainy,Intermediate,5,25.04,29.8
Grading,Windy,Beginner,2,65.91,94.09
Grading,Sunny,Intermediate,8,51.61,61.1
Earth Excavation,Sunny,Intermediate,7,23.58,25.48
Earth Excavation,Cloudy,Expert,9,40.69,43.35
Material Loading,Cloudy,Beginner,14,42.29,60.19
Demolition,Windy,Expert,11,56.33,61.31
Earth Excavation,Rainy,Beginner,6,55.51,87.0
Material Loading,Cloudy,Expert,2,24.58,22.1
Trenching,Windy,Beginner,5,81.09,105.37
Grading,Rainy,Intermediate,14,98.14,140.08
Earth Excavation,Windy,Beginner,11,103.75,154.71
Grading,Windy,Expert,10,115.62,116.71
Grading,Sunny,Expert,12,24.86,27.24
Demolition,Windy,Expert,13,112.12,117.33
Demolition,Rainy,Expert,14,32.84,39.52
Demolition,Cloudy,Expert,7,61.87,63.92
Trenching,Cloudy,Intermediate,6,117.05,129.05
Trenching,Rainy,Intermediate,10,90.0,124.7
Material Loading,Cloudy,Expert,12,113.55,123.37
Trenching,Rainy,Expert,12,49.06,57.51
Trenching,Rainy,Expert,9,89.43,101.54
Earth Excavation,Cloudy,Expert,8,78.28,86.97
Grading,Cloudy,Intermediate,13,21.28,23.26
Grading,Rainy,Beginner,11,25.66,39.1
Trenching,Cloudy,Expert,5,34.64,31.36
Material Loading,Rainy,Expert,1,55.87,60.37
Demolition,Rainy,Expert,11,76.13,86.47
Material Loading,Sunny,Intermediate,7,61.66,69.78
Material Loading,Sunny,Beginner,12,45.13,62.12
Grading,Rainy,Expert,12,90.95,107.1
Demolition,Rainy,Expert,4,49.42,51.93
Earth Excavation,Rainy,Beginner,12,71.38,112.29
Grading,Cloudy,Expert,5,33.01,33.3
Material Loading,Sunny,Intermediate,8,90.97,91.46
Trenching,Cloudy,Expert,1,97.37,95.26
Material Loading,Windy,Expert,9,55.81,63.65
Material Loading,Rainy,Beginner,9,26.82,42.14
Grading,Windy,Beginner,6,42.12,55.56
Material Loading,Cloudy,Intermediate,5,41.84,48.46
Demolition,Windy,Expert,14,95.21,110.66
Earth Excavation,Cloudy,Intermediate,4,110.45,123.35
Demolition,Rainy,Beginner,11,108.57,169.42
Earth Excavation,Windy,Intermediate,9,92.4,100.26
Demolition,Cloudy,Expert,13,70.87,75.48
Material Loading,Rainy,Intermediate,9,28.23,33.94
Demolition,Sunny,Expert,2,41.08,38.69
Trenching,Windy,Beginner,4,73.78,105.39
Grading,Sunny,Expert,11,35.38,35.06
Material Loading,Sunny,Beginner,2,25.43,32.96
Demolition,Sunny,Expert,14,42.76,41.75
Grading,Windy,Expert,7,63.3,60.57
Earth Excavation,Sunny,Expert,12,81.83,86.71
Demolition,Sunny,Expert,14,27.26,30.36
Earth Excavation,Cloudy,Expert,5,80.66,76.54
Grading,Windy,Intermediate,14,86.07,107.37
Demolition,Rainy,Beginner,12,59.1,100.99
Demolition,Cloudy,Expert,3,49.81,52.23
Material Loading,Sunny,Expert,14,75.51,71.64
Earth Excavation,Windy,Expert,9,114.7,118.94
Material Loading,Rainy,Intermediate,11,105.15,130.04
Trenching,Rainy,Expert,14,45.27,51.44
Demolition,Sunny,Expert,8,84.47,75.1
Earth Excavation,Cloudy,Beginner,4,92.56,120.98
Material Loading,Cloudy,Beginner,11,85.55,110.08
Demolition,Sunny,Beginner,6,68.59,84.25
Material Loading,Rainy,Expert,10,56.45,64.6
Grading,Rainy,Beginner,6,44.62,64.31
Grading,Cloudy,Intermediate,3,87.96,91.92
Grading,Windy,Intermediate,6,97.48,113.37
Earth Excavation,Rainy,Expert,10,28.2,32.03
Trenching,Rainy,Intermediate,12,108.63,133.63
Earth Excavation,Sunny,Expert,11,23.12,23.48
Grading,Rainy,Beginner,9,46.06,77.99
Demolition,Windy,Expert,13,34.86,38.16
Demolition,Cloudy,Beginner,8,70.11,87.59
Material Loading,Sunny,Expert,4,104.8,104.11
Demolition,Rainy,Expert,3,64.62,67.27
Demolition,Rainy,Expert,12,68.35,80.34
Trenching,Windy,Beginner,2,46.44,59.2
Trenching,Cloudy,Intermediate,8,111.79,136.44
Earth Excavation,Cloudy,Beginner,12,116.84,169.29
Material Loading,Cloudy,Expert,9,77.02,77.38
Grading,Cloudy,Expert,11,109.82,105.47
Material Loading,Windy,Beginner,9,60.58,92.69
Material Loading,Windy,Intermediate,10,20.66,26.91
Grading,Rainy,Beginner,2,71.45,100.35
Trenching,Rainy,Beginner,6,80.2,130.18
Trenching,Windy,Intermediate,12,31.33,39.95
Grading,Rainy,Expert,3,84.73,92.57
Trenching,Sunny,Beginner,10,79.23,96.94
Demolition,Sunny,Expert,3,25.59,22.58
Trenching,Windy,Expert,10,83.76,98.12
Material Loading,Sunny,Beginner,8,80.65,103.92
Grading,Rainy,Beginner,14,61.08,93.1
Demolition,Rainy,Expert,11,71.08,79.55
Material Loading,Windy,Expert,10,26.88,28.56
Trenching,Sunny,Beginner,4,72.27,97.58
Grading,Rainy,Expert,2,37.74,44.91
Demolition,Sunny,Expert,9,95.24,85.83
Trenching,Sunny,Expert,11,63.15,62.09
Earth Excavation,Windy,Beginner,13,68.21,107.21
Material Loading,Sunny,Intermediate,3,45.45,49.3
Earth Excavation,Cloudy,Expert,9,60.86,58.79
Earth Excavation,Sunny,Expert,1,57.5,49.19
Material Loading,Windy,Intermediate,2,35.48,41.02
Material Loading,Cloudy,Expert,7,76.47,79.05
Grading,Rainy,Intermediate,9,98.38,128.23
Material Loading,Windy,Intermediate,5,77.77,94.75
Grading,Rainy,Expert,2,94.78,103.29
Trenching,Sunny,Beginner,9,60.06,76.02
Demolition,Sunny,Beginner,7,116.46,134.74
Earth Excavation,Rainy,Intermediate,10,63.54,76.56
Trenching,Cloudy,Beginner,10,23.78,32.2
Grading,Cloudy,Expert,10,25.75,28.23
Trenching,Windy,Intermediate,1,40.17,46.03
Demolition,Cloudy,Beginner,1,98.4,125.49
Trenching,Rainy,Expert,1,55.97,62.94
Trenching,Sunny,Intermediate,13,59.94,70.03
Grading,Rainy,Expert,1,93.69,93.38
Earth Excavation,Cloudy,Expert,14,75.91,83.13
Material Loading,Cloudy,Beginner,10,116.31,159.75
Grading,Sunny,Intermediate,3,60.71,57.61
Earth Excavation,Cloudy,Intermediate,2,100.29,117.22
Demolition,Cloudy,Expert,8,116.61,120.52
Trenching,Cloudy,Intermediate,11,66.07,78.34
Earth Excavation,Windy,Beginner,5,26.76,38.08
Trenching,Rainy,Intermediate,7,115.54,148.84
Earth Excavation,Cloudy,Beginner,5,29.3,40.11
Material Loading,Sunny,Expert,3,67.66,60.88
Demolition,Cloudy,Beginner,12,88.31,134.84
Grading,Rainy,Beginner,12,44.21,67.96
Trenching,Rainy,Beginner,14,81.86,125.14
Earth Excavation,Sunny,Beginner,11,115.58,153.73
Earth Excavation,Sunny,Intermediate,6,82.07,86.86
Demolition,Cloudy,Intermediate,3,118.44,138.75
Material Loading,Windy,Beginner,13,77.67,105.52
Grading,Windy,Expert,1,70.25,68.75
Trenching,Windy,Beginner,12,71.82,102.26
Earth Excavation,Sunny,Expert,4,57.94,49.9
Material Loading,Cloudy,Beginner,9,46.28,60.63
Demolition,Cloudy,Intermediate,3,69.88,71.2
Material Loading,Cloudy,Intermediate,5,65.07,72.76
Demolition,Rainy,Beginner,12,46.99,71.78
Grading,Windy,Beginner,3,100.0,142.45
Grading,Sunny,Beginner,7,69.96,98.73
Demolition,Cloudy,Intermediate,5,45.1,53.29
Earth Excavation,Windy,Beginner,12,36.33,50.65
Material Loading,Windy,Expert,2,64.99,63.46
Material Loading,Cloudy,Expert,9,113.18,110.93
Earth Excavation,Windy,Beginner,6,106.74,163.18
Trenching,Rainy,Intermediate,6,52.51,66.93
Grading,Sunny,Intermediate,10,48.65,54.92
Trenching,Rainy,Expert,13,112.86,135.58
Demolition,Windy,Beginner,2,36.2,46.09
Material Loading,Cloudy,Expert,5,80.54,78.24
Grading,Cloudy,Expert,10,72.09,74.19
Trenching,Rainy,Beginner,3,92.78,142.07
Earth Excavation,Rainy,Beginner,7,30.3,42.61
Grading,Sunny,Beginner,13,59.7,85.24
Earth Excavation,Sunny,Intermediate,10,35.53,40.29
Grading,Cloudy,Beginner,4,93.76,121.47
Trenching,Rainy,Expert,14,37.06,41.39
Material Loading,Cloudy,Intermediate,8,117.5,134.33
Material Loading,Windy,Beginner,12,73.93,111.28
Grading,Windy,Expert,11,83.95,88.74
Material Loading,Windy,Expert,4,100.47,102.24
Material Loading,Windy,Intermediate,3,50.36,51.35
Trenching,Cloudy,Intermediate,8,73.51,86.49
Grading,Windy,Intermediate,1,96.59,113.71
Demolition,Rainy,Beginner,9,57.36,88.44
Demolition,Windy,Intermediate,4,36.33,43.53
Grading,Windy,Beginner,5,27.92,39.67
Demolition,Cloudy,Intermediate,11,94.29,116.68
Grading,Rainy,Beginner,3,33.66,46.03
Grading,Windy,Intermediate,12,82.28,95.04
Earth Excavation,Rainy,Beginner,9,22.21,38.15
Material Loading,Cloudy,Beginner,12,63.84,81.23
Earth Excavation,Rainy,Beginner,8,41.72,63.85
Grading,Cloudy,Intermediate,12,99.14,112.63
Trenching,Sunny,Intermediate,13,59.24,67.52
Trenching,Rainy,Intermediate,14,58.16,71.81
Trenching,Windy,Intermediate,4,93.76,97.25
Grading,Sunny,Expert,11,118.21,117.45
Material Loading,Cloudy,Beginner,11,92.82,136.17
Demolition,Sunny,Intermediate,8,83.85,85.1
Earth Excavation,Rainy,Beginner,4,83.29,120.36
Trenching,Cloudy,Expert,2,59.58,54.48
Earth Excavation,Windy,Expert,10,35.5,40.75
Trenching,Rainy,Intermediate,2,88.59,104.93
Earth Excavation,Sunny,Intermediate,11,35.39,39.57
Earth Excavation,Rainy,Intermediate,4,51.67,65.24
Material Loading,Windy,Expert,4,22.14,22.24
Trenching,Cloudy,Beginner,8,90.66,124.83
Demolition,Windy,Beginner,10,38.66,54.42
Grading,Cloudy,Expert,14,75.45,74.27
Trenching,Windy,Intermediate,14,46.33,56.55
Earth Excavation,Windy,Expert,3,108.29,113.07
Material Loading,Rainy,Intermediate,12,26.33,38.69
Grading,Rainy,Expert,11,69.75,84.48
Demolition,Cloudy,Intermediate,7,84.09,87.11
Demolition,Sunny,Beginner,14,113.78,145.65
Earth Excavation,Rainy,Beginner,8,39.16,55.2
Grading,Windy,Expert,10,90.13,93.36
Material Loading,Rainy,Expert,12,27.09,35.59
Trenching,Windy,Beginner,8,100.1,130.16
Demolition,Windy,Intermediate,13,90.84,120.22
Material Loading,Sunny,Expert,2,103.45,86.95
Trenching,Sunny,Beginner,12,43.1,56.6
Trenching,Rainy,Expert,11,114.75,139.17
Demolition,Windy,Expert,2,96.63,99.07
Grading,Windy,Beginner,3,99.25,136.29
Demolition,Cloudy,Expert,3,73.39,72.86
Material Loading,Cloudy,Expert,6,104.49,102.83
Grading,Cloudy,Expert,4,76.31,70.71
Demolition,Cloudy,Intermediate,8,64.75,71.92
Earth Excavation,Cloudy,Expert,1,71.76,75.25
Material Loading,Sunny,Intermediate,4,41.48,41.54
Material Loading,Rainy,Beginner,1,66.04,89.44
Material Loading,Cloudy,Expert,4,43.3,45.2
Earth Excavation,Windy,Expert,4,93.43,100.5
Grading,Rainy,Intermediate,14,109.9,156.44
Earth Excavation,Cloudy,Beginner,12,100.83,138.92
Earth Excavation,Cloudy,Intermediate,14,63.43,82.46
Earth Excavation,Rainy,Expert,11,104.95,136.6
Grading,Sunny,Intermediate,9,24.12,26.5
Trenching,Cloudy,Expert,12,42.08,40.53
Grading,Windy,Expert,10,70.47,72.48
Material Loading,Windy,Beginner,3,53.62,72.55
Earth Excavation,Windy,Intermediate,2,59.85,66.27
Trenching,Rainy,Intermediate,9,39.81,50.98
Demolition,Rainy,Expert,10,119.71,142.91
Trenching,Sunny,Intermediate,13,63.01,73.83
Demolition,Sunny,Beginner,11,61.36,79.53
Trenching,Cloudy,Intermediate,10,85.54,104.13
Trenching,Cloudy,Expert,14,119.02,126.74
Trenching,Windy,Beginner,14,43.35,67.65
Trenching,Sunny,Beginner,12,25.45,37.28
Trenching,Cloudy,Beginner,6,89.38,110.1
Grading,Windy,Beginner,6,40.9,57.66
Trenching,Cloudy,Expert,8,82.3,92.27
Earth Excavation,Windy,Expert,11,72.68,75.96
Earth Excavation,Cloudy,Beginner,13,89.65,121.8
Grading,Sunny,Beginner,7,86.04,114.08
Material Loading,Sunny,Beginner,5,106.74,138.51
Trenching,Windy,Expert,12,29.96,31.99
Demolition,Sunny,Beginner,4,70.07,86.71
Earth Excavation,Sunny,Beginner,9,50.49,65.91
Trenching,Sunny,Intermediate,11,55.19,62.8
Trenching,Cloudy,Beginner,11,45.77,62.57
Earth Excavation,Cloudy,Beginner,3,54.18,68.81
Trenching,Sunny,Expert,7,72.07,71.87
Trenching,Windy,Beginner,10,35.27,56.03
Demolition,Cloudy,Intermediate,9,33.18,39.13
Demolition,Rainy,Beginner,5,88.85,145.05
Trenching,Windy,Beginner,11,113.3,179.86
Material Loading,Sunny,Expert,9,114.86,104.08
Material Loading,Rainy,Expert,1,96.54,113.31
Grading,Windy,Intermediate,8,94.56,119.57
Material Loading,Rainy,Beginner,2,33.15,44.08
Demolition,Cloudy,Expert,10,81.24,86.08
Trenching,Sunny,Intermediate,2,88.81,90.16
Demolition,Windy,Expert,11,57.4,67.52
Grading,Windy,Beginner,3,39.33,48.47
Earth Excavation,Cloudy,Intermediate,4,94.24,112.96
Trenching,Sunny,Beginner,8,106.71,138.02
Material Loading,Windy,Beginner,7,60.49,77.61
Grading,Cloudy,Intermediate,10,113.91,133.46
Demolition,Sunny,Expert,2,65.16,63.73
Earth Excavation,Rainy,Expert,9,59.56,73.41
Demolition,Windy,Expert,13,83.06,84.54
Material Loading,Windy,Intermediate,5,97.37,107.65
Trenching,Windy,Intermediate,10,111.9,140.54
Trenching,Windy,Expert,8,29.04,31.05
Trenching,Rainy,Intermediate,7,52.35,60.83
Grading,Rainy,Intermediate,2,45.01,57.2
Trenching,Sunny,Beginner,2,90.62,113.89
Earth Excavation,Windy,Expert,13,117.52,134.42
Trenching,Windy,Expert,7,24.39,24.14
Material Loading,Rainy,Beginner,14,34.46,59.61
Earth Excavation,Windy,Intermediate,5,93.02,117.34
Material Loading,Rainy,Beginner,3,116.04,155.02
Material Loading,Sunny,Intermediate,8,105.54,114.97
Earth Excavation,Windy,Beginner,4,78.89,107.77
Grading,Windy,Beginner,10,80.01,110.24
Demolition,Cloudy,Expert,11,75.75,84.63
Earth Excavation,Rainy,Beginner,1,85.33,112.61
Earth Excavation,Cloudy,Intermediate,2,24.9,26.22
Trenching,Rainy,Expert,5,81.11,95.5
Demolition,Rainy,Intermediate,12,77.9,113.73
Earth Excavation,Cloudy,Intermediate,6,109.75,129.98
Grading,Sunny,Intermediate,8,33.45,37.53
Material Loading,Cloudy,Expert,7,72.46,76.14
Demolition,Sunny,Beginner,10,92.97,125.89
Earth Excavation,Windy,Expert,12,80.48,94.38
Material Loading,Windy,Expert,14,51.65,58.59
Demolition,Cloudy,Beginner,10,76.26,106.11
Grading,Windy,Beginner,10,43.27,60.2
Trenching,Sunny,Beginner,1,66.49,85.37
Trenching,Windy,Intermediate,1,53.38,60.02
Trenching,Sunny,Expert,4,89.0,79.21
Earth Excavation,Cloudy,Intermediate,9,75.0,90.42
Earth Excavation,Cloudy,Intermediate,7,92.44,106.27
Earth Excavation,Rainy,Beginner,6,103.38,171.13
Grading,Windy,Beginner,11,33.58,45.81
Grading,Cloudy,Intermediate,13,101.42,130.63
Earth Excavation,Cloudy,Expert,12,87.82,93.97
Earth Excavation,Rainy,Expert,11,53.17,69.05
Material Loading,Sunny,Beginner,5,104.07,126.91
Grading,Rainy,Expert,10,58.96,71.38
Material Loading,Cloudy,Expert,1,47.15,41.28
Trenching,Cloudy,Intermediate,14,115.07,129.92
Material Loading,Rainy,Beginner,6,98.49,158.69
Earth Excavation,Windy,Expert,1,99.9,107.98
